DIRECTORIO,P6081_archivo1,P6083_archivo1,P6088_archivo1,P2061_archivo1,P1070_archivo3,P6160_archivo4,P8586_archivo4,P5010_archivo5,P791_archivo5,P3162_archivo5,P3163_archivo5,P5032_archivo5
7911043,2,2,3.0,1.0,1,1,1,1,1,1.0,36800.0,1
7911044,3,3,9.0,1.0,1,1,2,2,1,1.0,11906.0,1
7911049,3,3,2.0,2.0,2,1,2,1,1,,,1
7911050,2,2,3.0,2.0,2,1,2,3,1,1.0,65000.0,1
7911054,3,2,4.0,2.0,2,1,2,1,1,1.0,20000.0,1
7911055,3,3,2.0,2.0,1,1,2,2,1,1.0,31899.0,1
7911057,3,3,9.0,1.0,1,1,2,2,1,1.0,20000.0,1
7911059,2,2,2.0,2.0,1,1,2,2,3,3.0,,3
7911061,2,2,4.0,2.0,1,1,2,1,3,1.0,34000.0,3
7911062,2,2,9.0,2.0,1,1,2,1,3,3.0,,3
7911064,3,2,1.0,2.0,1,1,2,2,3,1.0,33000.0,3
7911066,2,2,3.0,1.0,2,1,2,2,3,1.0,15000.0,4
7911070,2,2,9.0,1.0,1,1,2,2,3,1.0,33980.0,4
7911072,2,2,4.0,2.0,1,1,2,2,1,1.0,57000.0,1
7911079,3,2,1.0,1.0,1,1,2,2,1,1.0,17876.0,1
7911080,2,2,2.0,2.0,2,1,2,1,1,1.0,25000.0,1
7911081,2,2,4.0,2.0,2,1,2,3,1,1.0,30000.0,1
7911093,2,3,2.0,2.0,2,1,2,1,1,1.0,35000.0,1
7911094,2,2,2.0,2.0,1,1,2,2,1,1.0,6000.0,1
7911097,2,2,3.0,2.0,1,1,2,1,1,1.0,40000.0,1
7911101,3,3,1.0,2.0,1,1,2,2,3,,,4
7911107,2,2,2.0,2.0,1,1,2,2,1,1.0,43000.0,1
7911112,2,2,9.0,2.0,1,1,2,2,1,1.0,40000.0,1
7911114,3,3,4.0,2.0,1,1,2,2,1,1.0,22000.0,1
7911115,2,2,1.0,2.0,1,1,2,1,1,1.0,30000.0,1
7911120,1,1,,2.0,1,1,2,3,1,1.0,25000.0,3
7911125,2,2,1.0,2.0,1,1,2,1,1,,,4
7911128,3,3,2.0,2.0,1,1,2,4,1,1.0,34000.0,1
7911129,2,2,9.0,2.0,1,1,2,2,1,1.0,15000.0,1
7911134,3,2,2.0,1.0,1,1,2,1,1,,,3
7911135,3,3,1.0,1.0,1,1,2,2,1,,,4
7911137,2,2,2.0,2.0,2,1,2,1,1,,,4
7911141,3,3,6.0,2.0,1,1,2,4,1,1.0,27072.0,1
7911146,3,3,9.0,2.0,1,1,2,1,1,1.0,30000.0,1
7911148,2,2,1.0,2.0,4,1,2,1,1,,,4
7911157,2,2,1.0,2.0,4,1,2,2,3,,,4
7911165,2,2,9.0,2.0,1,1,2,1,3,,,4
7911166,2,3,4.0,2.0,1,1,2,1,1,1.0,18980.0,3
7911170,3,3,9.0,2.0,1,1,2,2,3,,,1
7911176,3,3,2.0,2.0,1,2,2,4,1,1.0,25000.0,3
7911178,2,2,9.0,1.0,1,2,2,1,1,,,3
7911181,2,2,2.0,1.0,1,1,2,2,3,,,4
7911183,2,2,9.0,1.0,1,1,2,2,1,1.0,35000.0,4
7911185,2,2,2.0,2.0,1,1,2,3,1,,,4
7911194,3,3,4.0,2.0,2,1,2,2,1,1.0,75000.0,1
7911198,2,2,3.0,1.0,1,1,2,2,1,1.0,25453.0,1
7911200,2,2,1.0,1.0,1,1,2,1,1,,,4
7911201,3,2,2.0,1.0,1,1,2,2,3,,,4
7911204,2,2,10.0,2.0,1,1,2,3,1,1.0,38000.0,1
7911215,3,3,2.0,1.0,1,1,2,3,1,1.0,29899.0,1
7911217,3,2,1.0,1.0,1,1,2,1,3,,,3
7911222,2,2,1.0,2.0,1,1,2,2,3,,,4
7911226,3,2,1.0,2.0,2,1,2,1,1,1.0,12250.0,1
7911230,2,1,,2.0,2,1,2,3,1,1.0,25250.0,1
7911235,2,2,8.0,2.0,1,1,2,2,1,1.0,55000.0,1
7911236,2,2,2.0,2.0,1,1,2,2,1,1.0,47000.0,1
7911237,2,2,2.0,2.0,1,1,2,2,1,1.0,43000.0,1
7911238,3,3,9.0,1.0,1,1,2,3,1,1.0,65000.0,1
7911241,2,3,1.0,1.0,1,1,2,2,1,,,3
7911248,2,1,,1.0,1,1,2,2,1,1.0,40000.0,1
7911255,2,2,2.0,2.0,1,1,2,1,1,1.0,87000.0,1
7911260,3,2,9.0,2.0,1,1,2,2,1,,,4
7911261,2,2,2.0,2.0,2,1,2,2,1,1.0,16263.0,1
7911262,2,3,2.0,2.0,2,1,2,2,1,1.0,20000.0,1
7911265,2,2,9.0,2.0,1,1,2,1,3,,,4
7911266,2,2,9.0,2.0,3,2,2,1,3,,,4
7911269,3,3,10.0,1.0,1,1,2,1,1,1.0,12000.0,1
7911270,2,2,2.0,1.0,1,1,2,1,1,,,4
7911271,2,2,6.0,2.0,1,1,2,1,1,1.0,27000.0,1
7911277,2,2,9.0,1.0,1,2,2,1,1,1.0,70000.0,3
7911280,3,3,9.0,2.0,1,1,2,2,1,1.0,20000.0,4
7911281,3,3,9.0,1.0,1,1,2,1,1,1.0,24000.0,1
7911282,3,1,,2.0,2,1,2,3,1,1.0,50000.0,1
7911286,3,3,4.0,2.0,1,1,2,2,1,1.0,45000.0,1
7911291,3,3,9.0,1.0,1,2,2,3,3,,,4
7911303,2,2,4.0,1.0,1,1,2,1,3,,,4
7911306,3,3,1.0,2.0,4,1,2,1,3,,,4
7911318,3,3,1.0,2.0,2,1,2,3,1,1.0,36000.0,1
7911321,3,3,1.0,1.0,4,1,2,1,3,,,4
7911326,2,2,2.0,2.0,2,1,2,2,1,1.0,10000.0,1
7911335,3,3,9.0,1.0,1,1,2,1,1,,,3
7911339,2,2,1.0,2.0,1,1,2,2,1,1.0,40000.0,1
7911347,2,2,9.0,2.0,4,2,2,1,3,,,4
7911351,2,3,1.0,2.0,1,1,2,1,3,,,4
7911360,3,2,9.0,2.0,1,1,2,2,3,,,4
7911364,3,3,9.0,1.0,1,2,2,2,1,1.0,18638.0,1
7911381,2,2,2.0,1.0,1,2,2,1,3,,,3
7911382,3,2,1.0,1.0,1,1,2,1,1,,,3
7911385,3,2,9.0,1.0,4,1,2,1,3,,,4
7911403,2,2,1.0,1.0,1,1,2,1,3,,,4
7911405,3,3,2.0,1.0,1,1,2,1,3,,,4
7911408,2,2,10.0,2.0,1,1,2,2,3,,,3
7911409,2,2,1.0,2.0,1,1,2,1,1,1.0,23000.0,3
7911414,2,2,1.0,2.0,1,1,2,2,3,,,4
7911426,2,2,3.0,2.0,1,1,2,1,1,1.0,10280.0,1
7911427,2,2,1.0,2.0,1,1,2,1,3,,,4
7911428,2,2,10.0,1.0,1,1,2,2,3,,,3
7911429,3,3,9.0,1.0,1,2,2,3,1,,,3
7911431,3,3,9.0,2.0,1,1,2,2,3,,,4
7911433,3,2,9.0,1.0,1,2,2,1,3,,,3
7911434,2,2,9.0,2.0,2,1,2,1,1,,,3
